,Nome da Embarcação,Número de Inscrição no RGP (PPP ou RAEP),Número de Inscrição na Marinha do Brasil,AB,Comprimento,Propulsão,HP,Capacidade do Porão,Volume do Tanque,Tripulação,Número de Covos,Status,UF,Número da Frota,Código IN,Petrecho
0,02 GUERREIROS,PA00161265,0230095631,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
1,02 IRMAOS IV,PA00161177,0230086110,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
2,02 IRMAOS V,PA00161181,0230077731,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
3,100 JUÍZO,RJ00096447,3830078391,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
4,12 CORACÕES,PA00161491,0270014497,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
5,17 DE MARÇO,RJ00062438,3830097417,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
6,23 DE ABRIL XIII,BA00013407,3430043409,,,,,,,,,Cancelada,BA,5.01.001,5.1,5. Armadilha
7,23 DE ABRIL XX,BA00013411,2930014431,,,,,,,,,Cancelada,BA,5.01.004,5.3,5. Armadilha
8,23 DE ABRIL XXIII,BA00013425,3420038496,,,,,,,,,Cancelada,BA,5.01.001,5.1,5. Armadilha
9,2 AMIGOS DE JARUMA,PA00161007,0210313471,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
10,2 DE AGOSTO,PA00160617,0230098941,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
11,2 DE JUNHO,PA00160597,0230090567,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
12,2 Irmãos Santos de Tucurui,PA00162117,0210310561,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
13,2 IRMAS,PA00161479,0230098207,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
14,2 Litros e 1/2,SP00164851,484M2004002597,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
15,3 IRMÃOS,PR00050111,9620241801,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
16,3 IRMAS I,PR00040984,4211511378,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
17,4010715138,SP00172728,4010715138,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
18,4420132931,SP00165811,4420132931,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
19,5AJ,SP00164731,402M2002028031,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
20,5 Irmãos,PA00159554,0210264161,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
21,5 IRMÃOS IV,PA00160477,0210987294,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
22,ABENÇOADOS,RJ00096339,3850008061,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
23,ACHAL II,SC00153530,4420196874,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
24,A COR DO RETRATO,RJ00096327,3877042953,,,,,,,,,Cancelada,RJ,1.02.001,1.3,1. Linha
25,ADALBERTO,ES00070905,3420043716,,,,,,,,,Cancelada,ES,3.02.002,3.9,3. Rede de Arrasto
26,ADELIA,SC00050149,4410454145,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
27,AD II,SC00156286,442M2003004869,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
28,ADILSON LUCAS,SP00050157,3860005880,,,,,,,,,Cancelada,SP,2.00.000,null,2. Rede de Emalhe
29,A DONZELA,RJ00096301,3850002110,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
30,ADRIANA,SC00062446,4430051186,,,,,,,,,Cancelada,SC,2.01.004,null,2. Rede de Emalhe
31,ADRIANE I,SC00061464,4450101391,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
32,ADRIANO,PR00040196,962M001813,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
33,ADRIELE,CE00038875,1630042811,,,,,,,,,Cancelada,CE,1.00.000,null,1. Linha
34,AFONSO,SC00154278,441M2009000827,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
35,AGATHA CHRISTIE,RJ00101671,3810497061,,,,,,,,,Cancelada,RJ,2.00.000,null,2. Rede de Emalhe
36,AGATHA I,PR00050187,4211495097,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
37,AGMAR,PR00040228,962M003042,,,,,,,,,Cancelada,PR,6.03.004,6.7,6. Diversificada
38,AGNUS DAI,PR00050199,4211489496,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
39,AGUA DE FOGO,PR00062474,9620233182,,,,,,,,,Cancelada,PR,2.01.004,null,2. Rede de Emalhe
40,ÁGUA MARINE,PR00050207,4430063851,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
41,AGUA MARINHA,ES00174454,3870060841,,,,,,,,,Cancelada,ES,2.00.000,null,2. Rede de Emalhe
42,AGUA MARINHA I,SP00005086,4430053626,,,,,,,,,Cancelada,SP,3.00.000,null,3. Rede de Arrasto
43,AGUA VIVA,SC00155156,441M2008000916,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
44,AGUIA AZUL I,PR00051001,4420172339,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
45,ÁGUIA BELA,RJ00096347,3420043040,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
46,AGUIA DO MAR,SC00062508,4430107556,,,,,,,,,Cancelada,SC,2.01.004,null,2. Rede de Emalhe
47,AGUIA DO MAR I,SP00050315,4210206938,,,,,,,,,Cancelada,SP,2.00.000,null,2. Rede de Emalhe
48,AGUIA DOURADA II,SC00061486,4420136219,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
49,AGUIA MARINHA I,SC00010977,4010157895,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
50,A INDOMADA,RJ00062516,3870060719,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
51,ALADIN,CE00037967,1630043206,,,,,,,,,Cancelada,CE,1.00.000,null,1. Linha
52,ALALUNGA VIII,SC00199234,4430121184,,,,,,,,,Cancelada,SC,1.05.001,1.13,1. Linha
53,Albatroz,SC00153270,442M2005003820,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
